,CoinName,0,1,class
10,Bitshares,-23.653503,-20.931192,1
13,PayCoin,-24.638597,-19.479536,1
34,CasinoCoin,-21.391453,-19.13989,1
42,Exclusive Coin,-26.085415,-16.199085,1
50,HyperStake,-21.5432,-25.64557,1
60,MintCoin,-22.34435,-20.857986,1
63,Nautilus Coin,-23.527906,-22.08096,1
76,SuperCoin,-21.87777,-25.760117,1
79,TeslaCoin,-25.564125,-14.463709,1
81,TittieCoin,-25.760384,-15.251839,1
94,Crypti,-25.564285,-14.463979,1
100,BurstCoin,-22.23262,-22.216557,1
101,StorjCoin,-24.617973,-12.063616,1
106,RubyCoin,-23.710247,-21.799181,1
110,Dnotes,-23.233025,-21.606092,1
116,Ucoin,-21.583782,-25.648088,1
133,Squall Coin,-20.947914,-26.871202,1
136,Diggits,-23.162527,-21.937494,1
154,GPU Coin,-23.15341,-21.913298,1
160,ZeitCoin,-21.241226,-19.061537,1
162,SafeExchangeCoin,-22.226074,-22.023922,1
163,Nebuchadnezzar,-25.393198,-16.169355,1
172,Let it Ride,-25.91049,-15.729307,1
176,MudraCoin,-21.436947,-26.010017,1
178,Lutetium Coin,-21.557825,-25.644531,1
190,BitCurrency,-23.159575,-21.935995,1
195,Opair,-25.930813,-16.481417,1
199,CoffeeCoin,-25.644466,-16.520596,1
200,RoyalCoin,-21.441326,-26.014212,1
202,TeamUP,-25.398094,-16.120743,1
206,ARK,-27.02555,-12.072873,1
212,FreeCoin,-25.951357,-16.464794,1
216,Creatio,-25.925732,-16.488796,1
226,PandaCoin,-21.544647,-19.164314,1
229,Allsafe,-24.819609,-18.992628,1
241,Zilbercoin,-23.707705,-21.784536,1
244,FindCoin,-21.74241,-26.109741,1
250,RenosCoin,-23.378662,-22.09314,1
256,Atmos,-25.633133,-16.514025,1
259,MacronCoin,-25.577894,-16.501457,1
264,ProCurrency,-21.77614,-18.838116,1
267,GrowthCoin,-23.20556,-21.52883,1
269,Phreak,-25.397438,-16.129715,1
272,Ultimate Secure Cash,-24.633947,-19.47785,1
274,QTUM,-25.90633,-15.728996,1
296,Signatum,-22.838549,-23.205486,1
301,Draftcoin,-23.709465,-21.792307,1
304,Stakecoin,-26.084852,-16.19474,1
313,Obsidian,-23.89534,-21.05714,1
314,Cardano,-22.113844,-18.157978,1
321,Rupee,-25.427767,-14.09474,1
331,KekCoin,-25.753057,-15.491012,1
333,Infinity Economics,-23.837336,-19.464615,1
339,Lamden Tau,-27.025496,-12.0728445,1
347,Bulwark,-25.6133,-14.6316595,1
348,Kalkulus,-24.81926,-18.992682,1
358,Digiwage,-24.816324,-18.992373,1
363,Monkey Project,-21.881248,-25.762173,1
367,TokenPay,-25.911419,-15.72935,1
368,1717 Masonic Commemorative Token,-24.72999,-12.353512,1
377,Tokyo Coin,-21.421467,-25.994982,1
378,BiblePay,-23.340017,-15.993574,1
384,Poa Network,-23.478361,-15.977884,1
387,Velox,-23.496922,-21.57351,1
388,Ontology,-21.834238,-25.378687,1
397,MedicCoin,-23.196205,-21.632946,1
399,Bitcoin Green,-24.768728,-12.465161,1
400,Deviant Coin,-26.084545,-16.19509,1
402,Semux,-22.347845,-16.212814,1
405,Zealium,-25.398026,-16.126587,1
407,Proton,-21.653002,-26.380323,1
411,Bitcoin Incognito,-20.966621,-26.934208,1
413,HollyWoodCoin,-23.386272,-22.094667,1
419,Xt3ch,-23.708158,-21.785511,1
424,Dekado,-21.623552,-26.288471,1
425,Lynx,-20.972717,-18.92405,1
426,Poseidon Quark,-24.804518,-18.989218,1
427,BitcoinWSpectrum,-24.634298,-19.47898,1
428,Muse,-24.660221,-12.169999,1
433,Dystem,-24.819616,-18.992552,1
435,Peony Coin,-22.801174,-21.144138,1
437,Vitae,-24.815113,-18.992975,1
444,ARENON,-21.877893,-25.758968,1
446,MMOCoin,-23.329153,-21.569164,1
447,Ketan,-26.084776,-16.18818,1
450,PAXEX,-21.872429,-25.755198,1
455,Acute Angle Cloud,-27.052763,-12.063007,1
457,Bettex coin,-21.682468,-26.46304,1
461,Junson Ming Chan Coin,-21.285028,-25.52272,1
466,PirateCash,-24.702047,-12.275593,1
473,Crypto Sports,-24.820068,-18.99252,1
476,Dash Platinum,-21.881275,-25.762014,1
485,ALAX,-27.0255,-12.072812,1
493,NeosCoin,-24.638731,-19.479422,1
507,Radium,-25.397469,-16.12982,1
512,Lisk,-27.025408,-12.072909,1
513,HiCoin,-22.518106,-20.993784,1
519,EOS,-27.025682,-12.0729475,1
521,Oxycoin,-27.025549,-12.0730915,1
522,TigerCash,-24.565071,-19.476784,1
523,Waves,-26.686632,-12.613198,1
524,Particl,-25.397266,-16.130743,1
526,Nxt,-26.890314,-16.27793,1
527,ZEPHYR,-22.394789,-16.180706,1
531,BitcoinPlus,-23.635511,-22.0255,1
